period,work_order_id,asset_code,planned_date,completed_date,completed
post,PPM0026,CH-02,2028-01-17,2028-01-22,True
post,PPM0027,CH-03,2028-01-17,2028-01-21,True
post,PPM0028,P-01,2028-01-14,2028-01-18,True
post,PPM0029,P-02,2028-01-11,2028-01-17,True
post,PPM0030,P-03,2028-01-11,2028-01-18,True
post,PPM0031,CH-01,2028-02-16,2028-02-18,True
post,PPM0032,CH-02,2028-02-17,2028-02-21,True
post,PPM0033,CH-03,2028-02-06,2028-02-11,True
post,PPM0034,P-01,2028-02-16,2028-02-23,True
post,PPM0035,P-02,2028-02-11,2028-02-16,True
post,PPM0036,P-03,2028-02-04,2028-02-04,True
post,PPM0037,CH-01,2028-03-15,2028-03-16,True
post,PPM0038,CH-02,2028-03-01,2028-03-01,True
post,PPM0039,CH-03,2028-03-03,2028-03-04,True
post,PPM0040,P-01,2028-03-14,2028-03-20,True
post,PPM0041,P-02,2028-03-19,2028-03-19,True
post,PPM0042,P-03,2028-03-13,2028-03-19,True
post,PPM0043,CH-01,2028-04-12,2028-04-14,True
post,PPM0044,CH-02,2028-04-05,2028-04-05,True
post,PPM0045,CH-03,2028-04-12,2028-04-19,True
post,PPM0046,P-01,2028-04-16,2028-04-23,True
post,PPM0047,P-02,2028-04-14,2028-04-17,True
post,PPM0048,P-03,2028-04-12,2028-04-13,True
post,PPM0049,CH-01,2028-05-03,2028-05-07,True
post,PPM0050,CH-02,2028-05-08,2028-05-11,True
post,PPM0051,CH-03,2028-05-06,2028-05-07,True
post,PPM0052,P-01,2028-05-14,2028-05-17,True
post,PPM0053,P-02,2028-05-05,2028-05-11,True
post,PPM0054,P-03,2028-05-02,2028-05-04,True
post,PPM0055,CH-01,2028-06-09,2028-06-09,True
post,PPM0056,CH-02,2028-06-10,2028-06-13,True
post,PPM0057,CH-03,2028-06-05,2028-06-05,True
post,PPM0058,P-01,2028-06-15,2028-06-18,True
post,PPM0059,P-02,2028-06-02,2028-06-04,True
post,PPM0060,P-03,2028-06-08,2028-06-12,True
post,PPM0061,CH-01,2028-07-20,2028-07-23,True
post,PPM0062,CH-02,2028-07-18,2028-07-19,True
post,PPM0063,CH-03,2028-07-04,2028-07-07,True
post,PPM0064,P-01,2028-07-18,2028-07-25,True
post,PPM0065,P-02,2028-07-06,2028-07-06,True
post,PPM0066,P-03,2028-07-09,2028-07-12,True
post,PPM0067,CH-01,2028-08-19,,False
post,PPM0068,CH-02,2028-08-06,2028-08-10,True
post,PPM0069,CH-03,2028-08-06,2028-08-08,True
post,PPM0070,P-01,2028-08-18,2028-08-21,True
post,PPM0071,P-02,2028-08-16,2028-08-23,True
post,PPM0072,P-03,2028-08-19,2028-08-23,True
