period,timestamp,it_load_kw,cooling_demand_kw,cooling_energy_kwh,cooling_electrical_power_kw,cooling_electrical_energy_kwh,cop,facility_power_kw,facility_energy_kwh,it_energy_kwh,pue
baseline,2026-01-01 06:45:00,599.18,634.18,158.545,240.55,60.137,2.6364,951.69,237.922,149.795,1.5883
baseline,2026-01-01 07:00:00,591.13,626.13,156.531,238.42,59.606,2.6261,941.15,235.288,147.781,1.5921
baseline,2026-01-01 07:15:00,617.76,652.76,163.191,242.31,60.577,2.694,972.87,243.218,154.441,1.5748
baseline,2026-01-01 07:30:00,582.44,617.44,154.359,191.06,47.765,3.2317,884.71,221.176,145.609,1.519
baseline,2026-01-01 07:45:00,626.98,661.98,165.495,262.47,65.618,2.5221,1002.67,250.667,156.745,1.5992
baseline,2026-01-01 08:00:00,654.86,689.86,172.465,263.71,65.927,2.616,1033.04,258.26,163.715,1.5775
baseline,2026-01-01 08:15:00,596.84,631.84,157.961,223.94,55.984,2.8215,932.64,233.16,149.211,1.5626
baseline,2026-01-01 08:30:00,630.38,665.38,166.345,223.61,55.903,2.9756,967.36,241.84,157.595,1.5346
baseline,2026-01-01 08:45:00,603.15,638.15,159.536,206.79,51.697,3.086,922.08,230.519,150.786,1.5288
baseline,2026-01-01 09:00:00,662.79,697.79,174.449,234.45,58.613,2.9763,1012.07,253.018,165.699,1.527
baseline,2026-01-01 09:15:00,643.56,678.56,169.64,276.83,69.207,2.4512,1034.35,258.587,160.89,1.6072
baseline,2026-01-01 09:30:00,627.43,662.43,165.607,215.6,53.899,3.0726,956.26,239.065,156.857,1.5241
baseline,2026-01-01 09:45:00,628.22,663.22,165.806,246.77,61.693,2.6876,988.27,247.066,157.056,1.5731
baseline,2026-01-01 10:00:00,628.54,663.54,165.886,214.0,53.501,3.1006,955.83,238.958,157.136,1.5207
baseline,2026-01-01 10:15:00,632.57,667.57,166.893,246.05,61.512,2.7132,992.09,248.021,158.143,1.5683
baseline,2026-01-01 10:30:00,669.54,704.54,176.136,246.88,61.719,2.8538,1031.55,257.887,167.386,1.5407
baseline,2026-01-01 10:45:00,674.05,709.05,177.262,243.73,60.931,2.9092,1033.11,258.276,168.512,1.5327
baseline,2026-01-01 11:00:00,669.0,704.0,176.001,239.7,59.925,2.937,1023.81,255.953,167.251,1.5304
baseline,2026-01-01 11:15:00,660.8,695.8,173.95,274.75,68.688,2.5324,1050.29,262.572,165.2,1.5894
baseline,2026-01-01 11:30:00,641.37,676.37,169.093,228.65,57.162,2.9581,983.88,245.97,160.343,1.534
baseline,2026-01-01 11:45:00,680.37,715.37,178.843,257.17,64.293,2.7817,1053.16,263.291,170.093,1.5479
baseline,2026-01-01 12:00:00,658.38,693.38,173.344,266.4,66.6,2.6028,1039.4,259.85,164.594,1.5787
baseline,2026-01-01 12:15:00,662.76,697.76,174.439,264.71,66.177,2.6359,1042.29,260.572,165.689,1.5727
baseline,2026-01-01 12:30:00,653.77,688.77,172.191,235.06,58.766,2.9301,1003.25,250.812,163.441,1.5346
baseline,2026-01-01 12:45:00,663.32,698.32,174.58,236.17,59.042,2.9569,1014.34,253.584,165.83,1.5292
baseline,2026-01-01 13:00:00,693.11,728.11,182.027,262.33,65.583,2.7755,1071.63,267.907,173.277,1.5461
baseline,2026-01-01 13:15:00,716.94,751.94,187.986,283.17,70.793,2.6554,1117.38,279.345,179.236,1.5585
baseline,2026-01-01 13:30:00,660.19,695.19,173.798,226.59,56.647,3.0681,1001.49,250.372,165.048,1.517
baseline,2026-01-01 13:45:00,689.78,724.78,181.195,255.31,63.829,2.8388,1061.13,265.283,172.445,1.5384
baseline,2026-01-01 14:00:00,706.19,741.19,185.297,253.4,63.349,2.925,1076.36,269.091,176.547,1.5242
baseline,2026-01-01 14:15:00,642.84,677.84,169.461,231.64,57.91,2.9263,988.41,247.103,160.711,1.5376
baseline,2026-01-01 14:30:00,692.23,727.23,181.807,252.84,63.21,2.8762,1061.22,265.304,173.057,1.533
baseline,2026-01-01 14:45:00,698.94,733.94,183.485,246.74,61.684,2.9746,1062.13,265.532,174.735,1.5196
baseline,2026-01-01 15:00:00,704.02,739.02,184.754,252.01,63.003,2.9325,1072.71,268.177,176.004,1.5237
baseline,2026-01-01 15:15:00,655.17,690.17,172.542,251.93,62.983,2.7395,1021.58,255.396,163.792,1.5593
baseline,2026-01-01 15:30:00,659.67,694.67,173.667,253.82,63.455,2.7368,1028.17,257.044,164.917,1.5586
baseline,2026-01-01 15:45:00,612.31,647.31,161.827,231.78,57.945,2.7928,956.64,239.16,153.077,1.5624
baseline,2026-01-01 16:00:00,673.33,708.33,177.083,242.62,60.655,2.9195,1031.25,257.813,168.333,1.5316
baseline,2026-01-01 16:15:00,659.13,694.13,173.533,245.47,61.367,2.8278,1019.26,254.816,164.783,1.5464
baseline,2026-01-01 16:30:00,607.79,642.79,160.698,209.8,52.45,3.0638,929.94,232.486,151.948,1.53
baseline,2026-01-01 16:45:00,688.26,723.26,180.815,242.23,60.556,2.9859,1046.46,261.614,172.065,1.5204
baseline,2026-01-01 17:00:00,634.08,669.08,167.271,264.57,66.144,2.5289,1012.19,253.048,158.521,1.5963
baseline,2026-01-01 17:15:00,629.47,664.47,166.118,233.89,58.474,2.8409,976.7,244.174,157.368,1.5516
baseline,2026-01-01 17:30:00,642.62,677.62,169.405,249.5,62.374,2.716,1006.03,251.508,160.655,1.5655
baseline,2026-01-01 17:45:00,645.27,680.27,170.067,228.84,57.21,2.9727,988.15,247.037,161.317,1.5314
baseline,2026-01-01 18:00:00,669.36,704.36,176.089,229.6,57.4,3.0677,1014.08,253.52,167.339,1.515
baseline,2026-01-01 18:15:00,607.77,642.77,160.691,229.57,57.392,2.7999,949.68,237.421,151.941,1.5626
baseline,2026-01-01 18:30:00,651.58,686.58,171.644,242.15,60.536,2.8354,1008.04,252.01,162.894,1.5471
baseline,2026-01-01 18:45:00,612.24,647.24,161.811,223.63,55.908,2.8942,948.42,237.106,153.061,1.5491
baseline,2026-01-01 19:00:00,620.92,655.92,163.979,228.14,57.035,2.8751,962.0,240.499,155.229,1.5493
baseline,2026-01-01 19:15:00,663.09,698.09,174.523,254.31,63.577,2.7451,1032.24,258.059,165.773,1.5567
baseline,2026-01-01 19:30:00,654.08,689.08,172.27,229.91,57.476,2.9972,998.42,249.604,163.52,1.5264
baseline,2026-01-01 19:45:00,644.39,679.39,169.848,245.99,61.497,2.7619,1004.38,251.095,161.098,1.5586
baseline,2026-01-01 19:45:00,644.39,679.39,169.848,245.99,61.497,2.7619,1004.38,251.095,161.098,1.5586
baseline,2026-01-01 20:00:00,599.53,634.53,158.633,211.54,52.884,2.9996,923.05,230.761,149.883,1.5396
baseline,2026-01-01 20:15:00,616.66,651.66,162.915,237.49,59.374,2.7439,966.9,241.726,154.165,1.568
baseline,2026-01-01 20:30:00,625.83,660.83,165.208,246.96,61.74,2.6759,985.95,246.488,156.458,1.5754
baseline,2026-01-01 20:45:00,606.08,641.08,160.27,223.08,55.771,2.8737,941.44,235.359,151.52,1.5533
baseline,2026-01-01 21:00:00,593.57,628.57,157.143,207.46,51.865,3.0298,912.74,228.186,148.393,1.5377
baseline,2026-01-01 21:15:00,619.96,654.96,163.74,222.37,55.591,2.9454,955.22,238.806,154.99,1.5408
baseline,2026-01-01 21:30:00,550.14,585.14,146.285,211.28,52.82,2.7695,871.18,217.794,137.535,1.5836
baseline,2026-01-01 21:45:00,608.3,643.3,160.825,204.83,51.208,3.1406,925.5,231.376,152.075,1.5215
baseline,2026-01-01 22:00:00,582.33,617.33,154.332,204.41,51.103,3.02,897.94,224.486,145.582,1.542
baseline,2026-01-01 22:15:00,667.33,702.33,175.583,238.79,59.696,2.9413,1021.15,255.286,166.833,1.5302
baseline,2026-01-01 22:30:00,573.72,608.72,152.18,219.46,54.865,2.7737,904.0,225.999,143.43,1.5757
baseline,2026-01-01 22:45:00,599.01,634.01,158.503,234.36,58.59,2.7053,945.33,236.331,149.753,1.5781
baseline,2026-01-01 23:00:00,597.69,632.69,158.171,233.51,58.378,2.7094,943.09,235.773,149.421,1.5779
baseline,2026-01-01 23:15:00,570.28,605.28,151.321,210.07,52.517,2.8814,891.01,222.753,142.571,1.5624
baseline,2026-01-01 23:30:00,611.44,646.44,161.611,241.29,60.322,2.6791,965.25,241.312,152.861,1.5786
baseline,2026-01-01 23:45:00,564.93,599.93,149.982,236.33,59.083,2.5385,911.68,227.92,141.232,1.6138
baseline,2026-01-02 00:00:00,588.54,623.54,155.884,216.83,54.208,2.8757,916.85,229.213,147.134,1.5579
baseline,2026-01-02 00:15:00,598.84,633.84,158.459,238.03,59.508,2.6628,948.81,237.204,149.709,1.5844
baseline,2026-01-02 00:30:00,583.09,618.09,154.524,220.87,55.217,2.7985,915.2,228.8,145.774,1.5696
baseline,2026-01-02 00:45:00,530.91,565.91,141.477,180.38,45.095,3.1373,820.18,205.045,132.727,1.5449
baseline,2026-01-02 01:00:00,635.57,670.57,167.642,249.06,62.266,2.6924,998.23,249.558,158.892,1.5706
baseline,2026-01-02 01:15:00,553.97,588.97,147.242,198.93,49.733,2.9607,862.83,215.707,138.492,1.5575
baseline,2026-01-02 01:30:00,572.13,607.13,151.782,220.19,55.048,2.7573,903.06,225.766,143.032,1.5784
baseline,2026-01-02 01:45:00,572.47,607.47,151.866,211.04,52.761,2.8784,894.27,223.567,143.116,1.5621
baseline,2026-01-02 02:00:00,558.9,593.9,148.476,213.83,53.457,2.7775,882.88,220.72,139.726,1.5797
baseline,2026-01-02 02:15:00,576.36,611.36,152.84,221.11,55.278,2.7649,908.41,227.102,144.09,1.5761
baseline,2026-01-02 02:30:00,553.43,588.43,147.108,200.03,50.007,2.9418,863.36,215.84,138.358,1.56
baseline,2026-01-02 02:45:00,578.41,613.41,153.353,199.71,49.927,3.0715,889.15,222.287,144.603,1.5372
baseline,2026-01-02 03:00:00,557.09,592.09,148.022,198.06,49.515,2.9894,865.22,216.305,139.272,1.5531
baseline,2026-01-02 03:15:00,584.29,619.29,154.822,229.39,57.347,2.6997,924.97,231.242,146.072,1.5831
baseline,2026-01-02 03:30:00,591.69,626.69,156.673,228.61,57.153,2.7413,931.93,232.983,147.923,1.575
baseline,2026-01-02 03:45:00,601.7,636.7,159.176,234.6,58.649,2.7141,948.37,237.094,150.426,1.5762
baseline,2026-01-02 04:00:00,569.51,604.51,151.128,211.98,52.995,2.8517,892.12,223.029,142.378,1.5665
baseline,2026-01-02 04:15:00,561.69,596.69,149.173,200.03,50.007,2.9831,871.99,217.998,140.423,1.5524
baseline,2026-01-02 04:30:00,600.32,635.32,158.829,232.16,58.039,2.7366,944.49,236.122,150.079,1.5733
baseline,2026-01-02 04:45:00,596.74,631.74,157.935,212.69,53.173,2.9702,921.29,230.321,149.185,1.5439
baseline,2026-01-02 05:00:00,582.05,617.05,154.263,205.82,51.456,2.998,899.07,224.767,145.513,1.5447
baseline,2026-01-02 05:15:00,584.61,619.61,154.902,216.72,54.18,2.859,912.63,228.159,146.152,1.5611
baseline,2026-01-02 05:30:00,612.19,647.19,161.798,224.08,56.019,2.8883,948.81,237.204,153.048,1.5499
baseline,2026-01-02 05:45:00,601.25,636.25,159.063,205.75,51.437,3.0924,919.05,229.764,150.313,1.5286
baseline,2026-01-02 06:00:00,601.64,636.64,159.159,242.03,60.508,2.6304,955.74,238.935,150.409,1.5886
baseline,2026-01-02 06:15:00,603.37,638.37,159.592,198.17,49.543,3.2213,913.69,228.423,150.842,1.5143
baseline,2026-01-02 06:30:00,600.58,635.58,158.894,223.48,55.871,2.8439,936.09,234.022,150.144,1.5586
baseline,2026-01-02 06:45:00,601.65,636.65,159.163,248.89,62.224,2.5579,962.62,240.655,150.413,1.6
baseline,2026-01-02 07:00:00,614.45,649.45,162.363,233.93,58.482,2.7763,961.03,240.257,153.613,1.564
baseline,2026-01-02 07:15:00,606.08,641.08,160.27,225.87,56.469,2.8382,944.23,236.057,151.52,1.5579
baseline,2026-01-02 07:30:00,622.71,657.71,164.428,243.35,60.837,2.7028,979.08,244.771,155.678,1.5723
baseline,2026-01-02 07:45:00,601.61,636.61,159.153,207.32,51.83,3.0707,921.01,230.251,150.403,1.5309
baseline,2026-01-02 08:00:00,637.5,672.5,168.125,239.43,59.858,2.8087,990.62,247.655,159.375,1.5539
baseline,2026-01-02 08:15:00,624.29,659.29,164.823,226.42,56.605,2.9118,963.81,240.951,156.073,1.5438
baseline,2026-01-02 08:30:00,631.66,666.66,166.665,265.59,66.398,2.5101,1010.68,252.669,157.915,1.6
baseline,2026-01-02 08:45:00,,641.17,160.293,220.18,55.045,2.912,938.63,234.657,151.543,1.5485
baseline,2026-01-02 09:00:00,630.24,665.24,166.31,260.56,65.141,2.5531,1004.16,251.041,157.56,1.5933
baseline,2026-01-02 09:15:00,649.01,684.01,171.002,238.57,59.641,2.8672,1001.78,250.445,162.252,1.5436
baseline,2026-01-02 09:30:00,668.29,703.29,175.823,240.7,60.175,2.9219,1024.07,256.016,167.073,1.5324
baseline,2026-01-02 09:45:00,624.81,659.81,164.952,238.32,59.58,2.7686,976.25,244.062,156.202,1.5625
baseline,2026-01-02 10:00:00,659.21,694.21,173.554,228.26,57.065,3.0413,1002.14,250.534,164.804,1.5202
baseline,2026-01-02 10:15:00,622.43,657.43,164.357,243.15,60.788,2.7038,978.59,244.648,155.607,1.5722
baseline,2026-01-02 10:30:00,624.3,659.3,164.824,230.82,57.705,2.8563,968.21,242.053,156.074,1.5509
baseline,2026-01-02 10:45:00,699.53,734.53,183.633,255.36,63.841,2.8764,1071.37,267.844,174.883,1.5316
baseline,2026-01-02 11:00:00,637.56,672.56,168.139,223.06,55.764,3.0152,974.3,243.576,159.389,1.5282
baseline,2026-01-02 11:15:00,650.3,685.3,171.324,245.01,61.254,2.797,1009.57,252.394,162.574,1.5525
baseline,2026-01-02 11:30:00,699.57,734.57,183.643,255.82,63.954,2.8715,1071.87,267.968,174.893,1.5322
baseline,2026-01-02 11:45:00,672.93,707.93,176.983,256.27,64.069,2.7624,1044.49,261.122,168.233,1.5521
baseline,2026-01-02 12:00:00,666.96,701.96,175.489,261.13,65.283,2.6881,1043.1,260.776,166.739,1.564
baseline,2026-01-02 12:15:00,689.73,724.73,181.183,278.8,69.701,,1084.57,271.143,172.433,1.5725
baseline,2026-01-02 12:30:00,711.87,746.87,186.717,309.54,77.385,2.4128,1138.44,284.611,177.967,1.5992
baseline,2026-01-02 12:45:00,696.96,731.96,182.989,241.65,60.411,3.0291,1054.97,263.742,174.239,1.5137
baseline,2026-01-02 13:00:00,680.47,715.47,178.869,268.44,67.11,2.6653,1064.53,266.134,170.119,1.5644
baseline,2026-01-02 13:15:00,641.55,676.55,169.138,236.41,59.103,2.8617,991.83,247.958,160.388,1.546
baseline,2026-01-02 13:30:00,694.85,729.85,182.463,258.45,64.613,2.8239,1069.57,267.393,173.713,1.5393
baseline,2026-01-02 13:45:00,658.11,693.11,173.276,282.46,70.615,2.4538,1055.18,263.795,164.526,1.6034
baseline,2026-01-02 14:00:00,664.66,699.66,174.915,258.28,64.57,2.7089,1037.85,259.462,166.165,1.5615
baseline,2026-01-02 14:15:00,678.13,713.13,178.282,259.23,64.807,2.751,1052.87,263.217,169.532,1.5526
baseline,2026-01-02 14:30:00,707.07,742.07,185.517,251.1,62.774,2.9553,1074.98,268.746,176.767,1.5203
baseline,2026-01-02 14:45:00,701.67,736.67,184.167,266.15,66.538,2.7679,1084.39,271.099,175.417,1.5455
baseline,2026-01-02 15:00:00,674.73,709.73,177.432,287.43,71.859,2.4692,1077.52,269.381,168.682,
baseline,2026-01-02 15:15:00,699.66,734.66,183.665,290.63,72.657,2.5278,1106.78,276.694,174.915,1.5819
baseline,2026-01-02 15:30:00,726.38,761.38,190.345,274.66,68.664,2.7721,1118.73,279.682,181.595,1.5401
baseline,2026-01-02 15:45:00,671.34,706.34,176.584,256.08,64.02,2.7583,1042.62,260.656,167.834,1.5531
baseline,2026-01-02 16:00:00,633.7,668.7,167.176,247.7,61.925,2.6997,994.92,248.729,158.426,1.57
baseline,2026-01-02 16:15:00,656.93,691.93,172.983,227.15,56.789,3.0461,998.65,249.662,164.233,1.5202
baseline,2026-01-02 16:30:00,,699.91,174.977,230.28,57.57,3.0394,1010.11,252.527,166.227,1.5192
baseline,2026-01-02 16:45:00,656.57,691.57,172.892,246.05,61.514,2.8106,1017.17,254.292,164.142,1.5492
baseline,2026-01-02 17:00:00,688.28,723.28,180.82,233.6,58.4,3.0962,1037.85,259.463,172.07,1.5079
baseline,2026-01-02 17:15:00,658.69,693.69,173.422,250.39,62.597,2.7705,1023.71,255.929,164.672,1.5542
baseline,2026-01-02 17:30:00,652.69,687.69,171.921,257.8,64.449,2.6676,1024.85,256.213,163.171,1.5702
baseline,2026-01-02 17:45:00,655.63,690.63,172.658,254.39,63.597,2.7149,1024.52,256.131,163.908,1.5627
baseline,2026-01-02 18:00:00,638.03,673.03,168.258,254.07,63.518,2.649,1005.81,251.454,159.508,1.5764
baseline,2026-01-02 18:15:00,654.84,689.84,172.461,256.24,64.059,2.6922,1025.55,256.387,163.711,1.5661
baseline,2026-01-02 18:30:00,637.55,672.55,168.137,253.52,63.38,2.6528,1004.76,251.19,159.387,1.576
baseline,2026-01-02 18:45:00,646.52,681.52,170.38,251.89,62.972,2.7057,1012.5,253.126,161.63,1.5661
baseline,2026-01-02 19:00:00,642.79,677.79,169.447,223.4,55.85,3.034,980.11,245.028,160.697,1.5248
baseline,2026-01-02 19:15:00,613.99,648.99,162.247,227.59,56.896,2.8516,954.2,238.551,153.497,1.5541
baseline,2026-01-02 19:30:00,647.78,682.78,170.696,238.98,59.746,2.857,1000.92,250.229,161.946,1.5451
baseline,2026-01-02 19:45:00,627.4,662.4,165.599,225.64,56.411,2.9356,966.27,241.568,156.849,1.5401
baseline,2026-01-02 20:00:00,625.26,660.26,165.065,230.42,57.604,2.8655,968.81,242.204,156.315,1.5495
baseline,2026-01-02 20:15:00,597.44,632.44,158.11,227.61,56.902,2.7786,936.93,234.233,149.36,1.5682
baseline,2026-01-02 20:30:00,601.09,636.09,159.021,224.37,56.092,2.835,937.5,234.375,150.271,1.5597
baseline,2026-01-02 20:45:00,594.7,629.7,157.426,208.23,52.057,3.0241,914.69,228.673,148.676,1.5381
baseline,2026-01-02 21:00:00,608.7,643.7,160.924,226.06,56.516,2.8474,947.15,236.788,152.174,1.556
baseline,2026-01-02 21:15:00,629.61,664.61,166.151,256.26,64.066,2.5934,999.2,249.801,157.401,1.587
baseline,2026-01-02 21:30:00,634.13,669.13,167.283,228.08,57.019,2.9338,975.74,243.936,158.533,1.5387
baseline,2026-01-02 21:45:00,596.52,631.52,157.881,207.18,51.794,3.0482,915.55,228.886,149.131,1.5348
baseline,2026-01-02 22:00:00,619.7,654.7,163.675,234.23,58.557,2.7951,966.82,241.704,154.925,1.5601
baseline,2026-01-02 22:00:00,619.7,654.7,163.675,234.23,58.557,2.7951,966.82,241.704,154.925,1.5601
baseline,2026-01-02 22:15:00,585.13,620.13,155.031,232.37,58.094,2.6686,928.83,232.208,146.281,1.5874
baseline,2026-01-02 22:30:00,574.9,609.9,152.474,199.9,49.975,3.051,885.67,221.417,143.724,1.5406
baseline,2026-01-02 22:45:00,618.52,653.52,163.38,235.61,58.903,2.7737,966.97,241.741,154.63,1.5634
baseline,2026-01-02 23:00:00,568.15,603.15,150.787,201.3,50.324,2.9963,880.01,220.003,142.037,1.5489
baseline,2026-01-02 23:15:00,587.84,622.84,155.71,221.06,55.266,2.8175,920.36,230.09,146.96,1.5657
baseline,2026-01-02 23:30:00,560.74,595.74,148.936,224.96,56.239,2.6483,895.93,223.983,140.186,1.5978
baseline,2026-01-02 23:45:00,564.99,599.99,149.998,214.67,53.666,2.795,890.08,222.52,141.248,1.5754
baseline,2026-01-03 00:00:00,583.86,618.86,154.715,220.59,55.148,2.8054,915.73,228.932,145.965,1.5684
baseline,2026-01-03 00:15:00,568.08,603.08,150.769,230.42,57.605,2.6173,909.06,227.265,142.019,1.6002
baseline,2026-01-03 00:30:00,570.51,605.51,151.377,214.3,53.574,2.8256,895.48,223.87,142.627,1.5696
baseline,2026-01-03 00:45:00,561.32,596.32,149.081,208.49,52.121,2.8603,880.07,220.017,140.331,1.5678
baseline,2026-01-03 01:00:00,557.44,592.44,148.109,212.83,53.208,2.7836,880.35,220.088,139.359,1.5793
baseline,2026-01-03 01:15:00,590.41,625.41,156.354,228.64,57.159,2.7354,930.62,232.655,147.604,1.5762
baseline,2026-01-03 01:30:00,581.42,616.42,154.104,227.37,56.842,2.7111,919.95,229.987,145.354,1.5823
baseline,2026-01-03 01:45:00,574.36,609.36,152.341,221.88,55.469,2.7464,907.09,226.772,143.591,
baseline,2026-01-03 02:00:00,548.11,583.11,145.779,220.61,55.152,2.6432,878.39,219.597,137.029,1.6026
baseline,2026-01-03 02:15:00,579.83,614.83,153.708,236.2,59.05,2.603,927.12,231.78,144.958,1.599
baseline,2026-01-03 02:30:00,567.33,602.33,150.582,217.15,54.288,2.7738,895.01,223.752,141.832,1.5776
baseline,2026-01-03 02:45:00,562.53,597.53,149.382,213.53,53.384,2.7983,886.38,221.594,140.632,1.5757
baseline,2026-01-03 03:00:00,546.39,581.39,145.348,212.24,53.06,2.7393,868.22,217.055,136.598,1.589
baseline,2026-01-03 03:15:00,577.39,612.39,153.097,205.86,51.465,2.9747,894.23,223.558,144.347,1.5488
baseline,2026-01-03 03:30:00,544.05,579.05,144.763,203.0,50.751,2.8524,856.54,214.134,136.013,1.5744
baseline,2026-01-03 03:45:00,524.21,559.21,139.803,200.86,50.216,2.784,833.67,208.416,131.053,1.5903
baseline,2026-01-03 04:00:00,565.24,600.24,150.06,187.93,46.983,3.1939,863.61,215.902,141.31,1.5279
baseline,2026-01-03 04:15:00,568.65,603.65,150.913,215.6,53.899,2.7999,894.84,223.709,142.163,1.5736
baseline,2026-01-03 04:30:00,572.18,607.18,151.795,197.57,49.394,3.0732,880.5,220.126,143.045,1.5389
baseline,2026-01-03 04:45:00,574.9,609.9,152.475,193.7,48.425,3.1487,879.47,219.868,143.725,1.5298
baseline,2026-01-03 05:00:00,606.59,641.59,160.398,230.38,57.595,2.7849,949.27,237.317,151.648,1.5649
baseline,2026-01-03 05:15:00,562.15,597.15,149.288,219.05,54.763,2.7261,891.5,222.875,140.538,1.5859
baseline,2026-01-03 05:30:00,566.13,601.13,150.283,233.81,58.452,2.571,910.42,227.604,141.533,1.6081
baseline,2026-01-03 05:45:00,586.77,621.77,155.444,214.78,53.695,2.8949,912.96,228.24,146.694,1.5559
baseline,2026-01-03 06:00:00,594.22,629.22,157.306,222.19,55.547,2.832,928.15,232.038,148.556,1.562
baseline,2026-01-03 06:15:00,605.99,640.99,160.248,211.52,52.881,3.0304,929.78,232.446,151.498,1.5343
baseline,2026-01-03 06:30:00,602.73,637.73,159.434,222.72,55.68,2.8634,937.58,234.394,150.684,1.5555
baseline,2026-01-03 06:45:00,576.93,611.93,152.983,217.45,54.362,2.8142,905.34,226.335,144.233,1.5692
baseline,2026-01-03 07:00:00,609.74,644.74,161.184,244.78,61.194,2.634,966.95,241.737,152.434,1.5859
baseline,2026-01-03 07:15:00,641.3,676.3,169.075,245.28,61.321,2.7572,1000.44,250.111,160.325,
baseline,2026-01-03 07:30:00,641.04,676.04,169.011,277.44,69.36,2.4367,1032.33,258.082,160.261,1.6104
baseline,2026-01-03 07:45:00,630.78,665.78,166.446,224.05,56.013,2.9716,968.22,242.055,157.696,1.5349
baseline,2026-01-03 08:00:00,617.55,652.55,163.139,214.86,53.714,3.0371,945.2,236.301,154.389,1.5306
baseline,2026-01-03 08:15:00,588.2,623.2,155.799,222.19,55.547,2.8048,921.85,230.463,147.049,1.5673
baseline,2026-01-03 08:30:00,638.53,673.53,168.381,219.56,54.889,3.0677,971.82,242.954,159.631,1.522
baseline,2026-01-03 08:45:00,639.67,674.67,168.668,250.69,62.673,,1004.15,251.038,159.918,1.5698
baseline,2026-01-03 09:00:00,625.45,660.45,165.112,229.89,57.472,2.8729,968.48,242.121,156.362,1.5485
baseline,2026-01-03 09:15:00,648.36,683.36,170.839,246.89,61.723,2.7679,1009.42,252.356,162.089,1.5569
baseline,2026-01-03 09:30:00,639.99,674.99,168.748,257.05,64.263,2.6259,1010.84,252.71,159.998,1.5795
