period,timestamp,available_chillers,available_cooling_capacity_kw,required_cooling_capacity_kw,capacity_margin_kw,service_available,redundancy_state
baseline,2026-01-01 19:00:00,3,1200,680.92,519.08,True,N+1
baseline,2026-01-01 19:15:00,3,1200,723.09,476.90999999999997,True,N+1
baseline,2026-01-01 19:30:00,3,1200,714.08,485.91999999999996,True,N+1
baseline,2026-01-01 19:45:00,3,1200,704.39,495.61,True,N+1
baseline,2026-01-01 20:00:00,3,1200,659.53,540.47,True,N+1
baseline,2026-01-01 20:15:00,3,1200,676.66,523.34,True,N+1
baseline,2026-01-01 20:30:00,3,1200,685.83,514.17,True,N+1
baseline,2026-01-01 20:45:00,3,1200,666.08,533.92,True,N+1
baseline,2026-01-01 21:00:00,3,1200,653.57,546.43,True,N+1
baseline,2026-01-01 21:15:00,3,1200,679.96,520.04,True,N+1
baseline,2026-01-01 21:30:00,3,1200,610.14,589.86,True,N+1
baseline,2026-01-01 21:45:00,3,1200,668.3,531.7,True,N+1
baseline,2026-01-01 22:00:00,3,1200,642.33,557.67,True,N+1
baseline,2026-01-01 22:15:00,3,1200,727.33,472.66999999999996,True,N+1
baseline,2026-01-01 22:30:00,3,1200,633.72,566.28,True,N+1
baseline,2026-01-01 22:45:00,3,1200,659.01,540.99,True,N+1
baseline,2026-01-01 23:00:00,3,1200,657.69,542.31,True,N+1
baseline,2026-01-01 23:15:00,3,1200,630.28,569.72,True,N+1
baseline,2026-01-01 23:30:00,3,1200,671.44,528.56,True,N+1
baseline,2026-01-01 23:45:00,3,1200,624.93,575.07,True,N+1
baseline,2026-01-02 00:00:00,3,1200,648.54,551.46,True,N+1
baseline,2026-01-02 00:15:00,3,1200,658.84,541.16,True,N+1
baseline,2026-01-02 00:30:00,3,1200,643.09,556.91,True,N+1
baseline,2026-01-02 00:45:00,3,1200,590.91,609.09,True,N+1
baseline,2026-01-02 01:00:00,3,1200,695.57,504.42999999999995,True,N+1
baseline,2026-01-02 01:15:00,3,1200,613.97,586.03,True,N+1
baseline,2026-01-02 01:30:00,3,1200,632.13,567.87,True,N+1
baseline,2026-01-02 01:45:00,3,1200,632.47,567.53,True,N+1
baseline,2026-01-02 02:00:00,3,1200,618.9,581.1,True,N+1
baseline,2026-01-02 02:15:00,3,1200,636.36,563.64,True,N+1
baseline,2026-01-02 02:30:00,3,1200,613.43,586.57,True,N+1
baseline,2026-01-02 02:45:00,3,1200,638.41,561.59,True,N+1
baseline,2026-01-02 03:00:00,3,1200,617.09,582.91,True,N+1
baseline,2026-01-02 03:15:00,3,1200,644.29,555.71,True,N+1
baseline,2026-01-02 03:30:00,3,1200,651.69,548.31,True,N+1
baseline,2026-01-02 03:45:00,3,1200,661.7,538.3,True,N+1
baseline,2026-01-02 04:00:00,3,1200,629.51,570.49,True,N+1
baseline,2026-01-02 04:15:00,3,1200,621.69,578.31,True,N+1
baseline,2026-01-02 04:30:00,3,1200,660.32,539.68,True,N+1
baseline,2026-01-02 04:45:00,3,1200,656.74,543.26,True,N+1
baseline,2026-01-02 05:00:00,3,1200,642.05,557.95,True,N+1
baseline,2026-01-02 05:15:00,3,1200,644.61,555.39,True,N+1
baseline,2026-01-02 05:30:00,3,1200,672.19,527.81,True,N+1
baseline,2026-01-02 05:45:00,3,1200,661.25,538.75,True,N+1
baseline,2026-01-02 06:00:00,3,1200,661.64,538.36,True,N+1
baseline,2026-01-02 06:15:00,3,1200,663.37,536.63,True,N+1
baseline,2026-01-02 06:30:00,3,1200,660.58,539.42,True,N+1
baseline,2026-01-02 06:45:00,3,1200,661.65,538.35,True,N+1
baseline,2026-01-02 07:00:00,3,1200,674.45,525.55,True,N+1
baseline,2026-01-02 07:15:00,3,1200,666.08,533.92,True,N+1
baseline,2026-01-02 07:30:00,3,1200,682.71,517.29,True,N+1
baseline,2026-01-02 07:45:00,3,1200,661.61,538.39,True,N+1
baseline,2026-01-02 08:00:00,3,1200,697.5,502.5,True,N+1
baseline,2026-01-02 08:15:00,3,1200,684.29,515.71,True,N+1
baseline,2026-01-02 08:30:00,3,1200,691.66,508.34000000000003,True,N+1
baseline,2026-01-02 08:45:00,3,1200,666.17,533.83,True,N+1
baseline,2026-01-02 09:00:00,3,1200,690.24,509.76,True,N+1
baseline,2026-01-02 09:15:00,3,1200,709.01,490.99,True,N+1
baseline,2026-01-02 09:30:00,3,1200,728.29,471.71000000000004,True,N+1
baseline,2026-01-02 09:45:00,3,1200,684.81,515.19,True,N+1
baseline,2026-01-02 10:00:00,3,1200,719.21,480.78999999999996,True,N+1
baseline,2026-01-02 10:15:00,3,1200,682.43,517.57,True,N+1
baseline,2026-01-02 10:30:00,3,1200,684.3,515.7,True,N+1
baseline,2026-01-02 10:45:00,3,1200,759.53,440.47,True,N+1
baseline,2026-01-02 11:00:00,3,1200,697.56,502.44000000000005,True,N+1
baseline,2026-01-02 11:15:00,3,1200,710.3,489.70000000000005,True,N+1
baseline,2026-01-02 11:30:00,3,1200,759.57,440.42999999999995,True,N+1
baseline,2026-01-02 11:45:00,3,1200,732.93,467.07000000000005,True,N+1
baseline,2026-01-02 12:00:00,3,1200,726.96,473.03999999999996,True,N+1
baseline,2026-01-02 12:15:00,3,1200,749.73,450.27,True,N+1
baseline,2026-01-02 12:30:00,3,1200,771.87,428.13,True,N+1
baseline,2026-01-02 12:45:00,3,1200,756.96,443.03999999999996,True,N+1
baseline,2026-01-02 13:00:00,3,1200,740.47,459.53,True,N+1
baseline,2026-01-02 13:15:00,3,1200,701.55,498.45000000000005,True,N+1
baseline,2026-01-02 13:30:00,3,1200,754.85,445.15,True,N+1
baseline,2026-01-02 13:45:00,3,1200,718.11,481.89,True,N+1
baseline,2026-01-02 14:00:00,3,1200,724.66,475.34000000000003,True,N+1
baseline,2026-01-02 14:15:00,3,1200,738.13,461.87,True,N+1
baseline,2026-01-02 14:30:00,3,1200,767.07,432.92999999999995,True,N+1
baseline,2026-01-02 14:45:00,3,1200,761.67,438.33000000000004,True,N+1
baseline,2026-01-02 15:00:00,3,1200,734.73,465.27,True,N+1
baseline,2026-01-02 15:15:00,3,1200,759.66,440.34000000000003,True,N+1
baseline,2026-01-02 15:30:00,3,1200,786.38,413.62,True,N+1
baseline,2026-01-02 15:45:00,3,1200,731.34,468.65999999999997,True,N+1
baseline,2026-01-02 16:00:00,3,1200,693.7,506.29999999999995,True,N+1
baseline,2026-01-02 16:15:00,3,1200,716.93,483.07000000000005,True,N+1
baseline,2026-01-02 16:30:00,3,1200,724.91,475.09000000000003,True,N+1
baseline,2026-01-02 16:45:00,3,1200,716.57,483.42999999999995,True,N+1
baseline,2026-01-02 17:00:00,3,1200,748.28,451.72,True,N+1
baseline,2026-01-02 17:15:00,3,1200,718.69,481.30999999999995,True,N+1
baseline,2026-01-02 17:30:00,3,1200,712.69,487.30999999999995,True,N+1
baseline,2026-01-02 17:45:00,3,1200,715.63,484.37,True,N+1
baseline,2026-01-02 18:00:00,3,1200,698.03,501.97,True,N+1
baseline,2026-01-02 18:15:00,3,1200,714.84,485.15999999999997,True,N+1
baseline,2026-01-02 18:30:00,3,1200,697.55,502.45000000000005,True,N+1
baseline,2026-01-02 18:45:00,3,1200,706.52,493.48,True,N+1
baseline,2026-01-02 19:00:00,3,1200,702.79,497.21000000000004,True,N+1
baseline,2026-01-02 19:15:00,3,1200,673.99,526.01,True,N+1
baseline,2026-01-02 19:30:00,3,1200,707.78,492.22,True,N+1
baseline,2026-01-02 19:45:00,3,1200,687.4,512.6,True,N+1
baseline,2026-01-02 20:00:00,3,1200,685.26,514.74,True,N+1
baseline,2026-01-02 20:15:00,3,1200,657.44,542.56,True,N+1
baseline,2026-01-02 20:30:00,3,1200,661.09,538.91,True,N+1
baseline,2026-01-02 20:45:00,3,1200,654.7,545.3,True,N+1
baseline,2026-01-02 21:00:00,3,1200,668.7,531.3,True,N+1
baseline,2026-01-02 21:15:00,3,1200,689.61,510.39,True,N+1
baseline,2026-01-02 21:30:00,3,1200,694.13,505.87,True,N+1
baseline,2026-01-02 21:45:00,3,1200,656.52,543.48,True,N+1
baseline,2026-01-02 22:00:00,3,1200,679.7,520.3,True,N+1
baseline,2026-01-02 22:15:00,3,1200,645.13,554.87,True,N+1
baseline,2026-01-02 22:30:00,3,1200,634.9,565.1,True,N+1
baseline,2026-01-02 22:45:00,3,1200,678.52,521.48,True,N+1
baseline,2026-01-02 23:00:00,3,1200,628.15,571.85,True,N+1
baseline,2026-01-02 23:15:00,3,1200,647.84,552.16,True,N+1
baseline,2026-01-02 23:30:00,3,1200,620.74,579.26,True,N+1
baseline,2026-01-02 23:45:00,3,1200,624.99,575.01,True,N+1
baseline,2026-01-03 00:00:00,3,1200,643.86,556.14,True,N+1
baseline,2026-01-03 00:15:00,3,1200,628.08,571.92,True,N+1
baseline,2026-01-03 00:30:00,3,1200,630.51,569.49,True,N+1
baseline,2026-01-03 00:45:00,3,1200,621.32,578.68,True,N+1
baseline,2026-01-03 01:00:00,3,1200,617.44,582.56,True,N+1
baseline,2026-01-03 01:15:00,3,1200,650.41,549.59,True,N+1
baseline,2026-01-03 01:30:00,3,1200,641.42,558.58,True,N+1
baseline,2026-01-03 01:45:00,3,1200,634.36,565.64,True,N+1
baseline,2026-01-03 02:00:00,3,1200,608.11,591.89,True,N+1
baseline,2026-01-03 02:15:00,3,1200,639.83,560.17,True,N+1
baseline,2026-01-03 02:30:00,3,1200,627.33,572.67,True,N+1
baseline,2026-01-03 02:45:00,3,1200,622.53,577.47,True,N+1
baseline,2026-01-03 03:00:00,3,1200,606.39,593.61,True,N+1
baseline,2026-01-03 03:15:00,3,1200,637.39,562.61,True,N+1
baseline,2026-01-03 03:30:00,3,1200,604.05,595.95,True,N+1
baseline,2026-01-03 03:45:00,3,1200,584.21,615.79,True,N+1
baseline,2026-01-03 04:00:00,3,1200,625.24,574.76,True,N+1
baseline,2026-01-03 04:15:00,3,1200,628.65,571.35,True,N+1
baseline,2026-01-03 04:30:00,3,1200,632.18,567.82,True,N+1
baseline,2026-01-03 04:45:00,3,1200,634.9,565.1,True,N+1
baseline,2026-01-03 05:00:00,3,1200,666.59,533.41,True,N+1
baseline,2026-01-03 05:15:00,3,1200,622.15,577.85,True,N+1
baseline,2026-01-03 05:30:00,3,1200,626.13,573.87,True,N+1
baseline,2026-01-03 05:45:00,3,1200,646.77,553.23,True,N+1
baseline,2026-01-03 06:00:00,3,1200,654.22,545.78,True,N+1
baseline,2026-01-03 06:15:00,3,1200,665.99,534.01,True,N+1
baseline,2026-01-03 06:30:00,3,1200,662.73,537.27,True,N+1
baseline,2026-01-03 06:45:00,3,1200,636.93,563.07,True,N+1
baseline,2026-01-03 07:00:00,3,1200,669.74,530.26,True,N+1
baseline,2026-01-03 07:15:00,3,1200,701.3,498.70000000000005,True,N+1
baseline,2026-01-03 07:30:00,3,1200,701.04,498.96000000000004,True,N+1
baseline,2026-01-03 07:45:00,3,1200,690.78,509.22,True,N+1
baseline,2026-01-03 08:00:00,3,1200,677.55,522.45,True,N+1
baseline,2026-01-03 08:15:00,3,1200,648.2,551.8,True,N+1
baseline,2026-01-03 08:30:00,3,1200,698.53,501.47,True,N+1
baseline,2026-01-03 08:45:00,3,1200,699.67,500.33000000000004,True,N+1
baseline,2026-01-03 09:00:00,3,1200,685.45,514.55,True,N+1
baseline,2026-01-03 09:15:00,3,1200,708.36,491.64,True,N+1
baseline,2026-01-03 09:30:00,3,1200,699.99,500.01,True,N+1
baseline,2026-01-03 09:45:00,3,1200,693.25,506.75,True,N+1
baseline,2026-01-03 10:00:00,3,1200,703.91,496.09000000000003,True,N+1
baseline,2026-01-03 10:15:00,3,1200,744.95,455.04999999999995,True,N+1
baseline,2026-01-03 10:30:00,3,1200,684.57,515.43,True,N+1
baseline,2026-01-03 10:45:00,3,1200,718.65,481.35,True,N+1
baseline,2026-01-03 11:00:00,3,1200,668.54,531.46,True,N+1
baseline,2026-01-03 11:15:00,3,1200,697.31,502.69000000000005,True,N+1
baseline,2026-01-03 11:30:00,3,1200,719.07,480.92999999999995,True,N+1
baseline,2026-01-03 11:45:00,3,1200,714.01,485.99,True,N+1
baseline,2026-01-03 12:00:00,3,1200,726.66,473.34000000000003,True,N+1
baseline,2026-01-03 12:15:00,3,1200,756.43,443.57000000000005,True,N+1
baseline,2026-01-03 12:30:00,3,1200,732.05,467.95000000000005,True,N+1
baseline,2026-01-03 12:45:00,3,1200,755.12,444.88,True,N+1
baseline,2026-01-03 13:00:00,3,1200,734.39,465.61,True,N+1
baseline,2026-01-03 13:15:00,3,1200,749.94,450.05999999999995,True,N+1
baseline,2026-01-03 13:30:00,3,1200,730.62,469.38,True,N+1
baseline,2026-01-03 13:45:00,3,1200,752.91,447.09000000000003,True,N+1
baseline,2026-01-03 14:00:00,3,1200,758.55,441.45000000000005,True,N+1
baseline,2026-01-03 14:15:00,3,1200,753.43,446.57000000000005,True,N+1
baseline,2026-01-03 14:30:00,3,1200,732.18,467.82000000000005,True,N+1
baseline,2026-01-03 14:45:00,3,1200,761.24,438.76,True,N+1
baseline,2026-01-03 15:00:00,3,1200,707.95,492.04999999999995,True,N+1
baseline,2026-01-03 15:15:00,3,1200,741.17,458.83000000000004,True,N+1
baseline,2026-01-03 15:30:00,3,1200,731.86,468.14,True,N+1
baseline,2026-01-03 15:45:00,3,1200,741.67,458.33000000000004,True,N+1
baseline,2026-01-03 16:00:00,3,1200,747.07,452.92999999999995,True,N+1
baseline,2026-01-03 16:15:00,3,1200,726.91,473.09000000000003,True,N+1
baseline,2026-01-03 16:30:00,3,1200,735.76,464.24,True,N+1
baseline,2026-01-03 16:45:00,3,1200,736.08,463.91999999999996,True,N+1
baseline,2026-01-03 17:00:00,3,1200,702.77,497.23,True,N+1
baseline,2026-01-03 17:15:00,3,1200,749.51,450.49,True,N+1
baseline,2026-01-03 17:30:00,3,1200,741.54,458.46000000000004,True,N+1
baseline,2026-01-03 17:45:00,3,1200,713.88,486.12,True,N+1
baseline,2026-01-03 18:00:00,3,1200,721.1,478.9,True,N+1
baseline,2026-01-03 18:15:00,3,1200,690.65,509.35,True,N+1
baseline,2026-01-03 18:30:00,3,1200,659.48,540.52,True,N+1
baseline,2026-01-03 18:45:00,3,1200,728.1,471.9,True,N+1
baseline,2026-01-03 19:00:00,3,1200,702.01,497.99,True,N+1
baseline,2026-01-03 19:15:00,3,1200,696.97,503.03,True,N+1
baseline,2026-01-03 19:30:00,3,1200,683.66,516.34,True,N+1
baseline,2026-01-03 19:45:00,3,1200,665.99,534.01,True,N+1
baseline,2026-01-03 20:00:00,3,1200,652.23,547.77,True,N+1
baseline,2026-01-03 20:15:00,3,1200,640.24,559.76,True,N+1
baseline,2026-01-03 20:30:00,3,1200,646.42,553.58,True,N+1
baseline,2026-01-03 20:45:00,3,1200,656.4,543.6,True,N+1
baseline,2026-01-03 21:00:00,3,1200,667.0,533.0,True,N+1
baseline,2026-01-03 21:15:00,3,1200,633.85,566.15,True,N+1
baseline,2026-01-03 21:30:00,3,1200,624.26,575.74,True,N+1
baseline,2026-01-03 21:45:00,3,1200,713.34,486.65999999999997,True,N+1
baseline,2026-01-03 22:00:00,3,1200,614.93,585.07,True,N+1
baseline,2026-01-03 22:15:00,3,1200,667.27,532.73,True,N+1
baseline,2026-01-03 22:30:00,3,1200,693.3,506.70000000000005,True,N+1
baseline,2026-01-03 22:45:00,3,1200,644.1,555.9,True,N+1
baseline,2026-01-03 23:00:00,3,1200,633.43,566.57,True,N+1
baseline,2026-01-03 23:15:00,3,1200,646.14,553.86,True,N+1
baseline,2026-01-03 23:30:00,3,1200,637.51,562.49,True,N+1
baseline,2026-01-03 23:45:00,3,1200,665.3,534.7,True,N+1
baseline,2026-01-04 00:00:00,3,1200,657.99,542.01,True,N+1
baseline,2026-01-04 00:15:00,3,1200,657.59,542.41,True,N+1
baseline,2026-01-04 00:30:00,3,1200,638.66,561.34,True,N+1
baseline,2026-01-04 00:45:00,3,1200,672.52,527.48,True,N+1
baseline,2026-01-04 01:00:00,3,1200,616.67,583.33,True,N+1
baseline,2026-01-04 01:15:00,3,1200,629.19,570.81,True,N+1
baseline,2026-01-04 01:30:00,3,1200,637.7,562.3,True,N+1
baseline,2026-01-04 01:45:00,3,1200,624.33,575.67,True,N+1
baseline,2026-01-04 02:00:00,3,1200,617.35,582.65,True,N+1
baseline,2026-01-04 02:15:00,3,1200,622.26,577.74,True,N+1
baseline,2026-01-04 02:30:00,3,1200,619.85,580.15,True,N+1
baseline,2026-01-04 02:45:00,3,1200,599.13,600.87,True,N+1
baseline,2026-01-04 03:00:00,3,1200,659.59,540.41,True,N+1
baseline,2026-01-04 03:15:00,3,1200,611.92,588.08,True,N+1
baseline,2026-01-04 03:30:00,3,1200,607.65,592.35,True,N+1
baseline,2026-01-04 03:45:00,3,1200,601.6,598.4,True,N+1
baseline,2026-01-04 04:00:00,3,1200,617.62,582.38,True,N+1
baseline,2026-01-04 04:15:00,3,1200,639.21,560.79,True,N+1
baseline,2026-01-04 04:30:00,3,1200,667.49,532.51,True,N+1
baseline,2026-01-04 04:45:00,3,1200,627.91,572.09,True,N+1
baseline,2026-01-04 05:00:00,3,1200,666.14,533.86,True,N+1
baseline,2026-01-04 05:15:00,3,1200,653.39,546.61,True,N+1
baseline,2026-01-04 05:30:00,3,1200,674.92,525.08,True,N+1
baseline,2026-01-04 05:45:00,3,1200,630.0,570.0,True,N+1
baseline,2026-01-04 06:00:00,3,1200,663.77,536.23,True,N+1
baseline,2026-01-04 06:15:00,3,1200,644.64,555.36,True,N+1
baseline,2026-01-04 06:30:00,3,1200,662.85,537.15,True,N+1
baseline,2026-01-04 06:45:00,3,1200,683.02,516.98,True,N+1
baseline,2026-01-04 07:00:00,3,1200,662.52,537.48,True,N+1
baseline,2026-01-04 07:15:00,3,1200,691.56,508.44000000000005,True,N+1
baseline,2026-01-04 07:30:00,3,1200,697.56,502.44000000000005,True,N+1
baseline,2026-01-04 07:45:00,3,1200,729.51,470.49,True,N+1
baseline,2026-01-04 08:00:00,3,1200,736.63,463.37,True,N+1
baseline,2026-01-04 08:15:00,3,1200,661.72,538.28,True,N+1
baseline,2026-01-04 08:30:00,3,1200,715.89,484.11,True,N+1
baseline,2026-01-04 08:45:00,3,1200,712.75,487.25,True,N+1
baseline,2026-01-04 09:00:00,3,1200,695.7,504.29999999999995,True,N+1
baseline,2026-01-04 09:15:00,3,1200,684.44,515.56,True,N+1
baseline,2026-01-04 09:30:00,3,1200,712.47,487.53,True,N+1
baseline,2026-01-04 09:45:00,3,1200,733.26,466.74,True,N+1
baseline,2026-01-04 10:00:00,3,1200,749.12,450.88,True,N+1
baseline,2026-01-04 10:15:00,3,1200,712.45,487.54999999999995,True,N+1
baseline,2026-01-04 10:30:00,3,1200,735.14,464.86,True,N+1
baseline,2026-01-04 10:45:00,3,1200,748.24,451.76,True,N+1
baseline,2026-01-04 11:00:00,3,1200,738.34,461.65999999999997,True,N+1
baseline,2026-01-04 11:15:00,3,1200,726.14,473.86,True,N+1
baseline,2026-01-04 11:30:00,3,1200,718.05,481.95000000000005,True,N+1
baseline,2026-01-04 11:45:00,3,1200,691.55,508.45000000000005,True,N+1
baseline,2026-01-04 12:00:00,3,1200,679.17,520.83,True,N+1
baseline,2026-01-04 12:15:00,3,1200,728.36,471.64,True,N+1
baseline,2026-01-04 12:30:00,3,1200,688.43,511.57000000000005,True,N+1
baseline,2026-01-04 12:45:00,3,1200,739.52,460.48,True,N+1
baseline,2026-01-04 13:00:00,3,1200,736.91,463.09000000000003,True,N+1
baseline,2026-01-04 13:15:00,3,1200,761.05,438.95000000000005,True,N+1
baseline,2026-01-04 13:30:00,3,1200,712.7,487.29999999999995,True,N+1
baseline,2026-01-04 13:45:00,3,1200,720.9,479.1,True,N+1
baseline,2026-01-04 14:00:00,3,1200,705.55,494.45000000000005,True,N+1
baseline,2026-01-04 14:15:00,3,1200,765.0,435.0,True,N+1
baseline,2026-01-04 14:30:00,3,1200,762.3,437.70000000000005,True,N+1
baseline,2026-01-04 14:45:00,3,1200,741.06,458.94000000000005,True,N+1
baseline,2026-01-04 15:00:00,3,1200,727.17,472.83000000000004,True,N+1
baseline,2026-01-04 15:15:00,3,1200,714.16,485.84000000000003,True,N+1
baseline,2026-01-04 15:30:00,3,1200,715.99,484.01,True,N+1
baseline,2026-01-04 15:45:00,3,1200,725.38,474.62,True,N+1
baseline,2026-01-04 16:00:00,3,1200,727.74,472.26,True,N+1
baseline,2026-01-04 16:15:00,3,1200,785.34,414.65999999999997,True,N+1
baseline,2026-01-04 16:30:00,3,1200,715.07,484.92999999999995,True,N+1
baseline,2026-01-04 16:45:00,3,1200,754.63,445.37,True,N+1
baseline,2026-01-04 17:00:00,3,1200,762.47,437.53,True,N+1
baseline,2026-01-04 17:15:00,3,1200,715.56,484.44000000000005,True,N+1
baseline,2026-01-04 17:30:00,3,1200,715.62,484.38,True,N+1
baseline,2026-01-04 17:45:00,3,1200,727.18,472.82000000000005,True,N+1
baseline,2026-01-04 18:00:00,3,1200,737.42,462.58000000000004,True,N+1
baseline,2026-01-04 18:15:00,3,1200,701.06,498.94000000000005,True,N+1
baseline,2026-01-04 18:30:00,3,1200,716.88,483.12,True,N+1
baseline,2026-01-04 18:45:00,3,1200,714.64,485.36,True,N+1
baseline,2026-01-04 19:00:00,3,1200,708.79,491.21000000000004,True,N+1
baseline,2026-01-04 19:15:00,3,1200,689.14,510.86,True,N+1
baseline,2026-01-04 19:30:00,3,1200,711.41,488.59000000000003,True,N+1
baseline,2026-01-04 19:45:00,3,1200,679.32,520.68,True,N+1
baseline,2026-01-04 20:00:00,3,1200,703.32,496.67999999999995,True,N+1
baseline,2026-01-04 20:15:00,3,1200,702.54,497.46000000000004,True,N+1
baseline,2026-01-04 20:30:00,3,1200,644.58,555.42,True,N+1
baseline,2026-01-04 20:45:00,3,1200,695.48,504.52,True,N+1
baseline,2026-01-04 21:00:00,3,1200,671.92,528.08,True,N+1
baseline,2026-01-04 21:15:00,3,1200,665.59,534.41,True,N+1
