period,alarm_id,timestamp,asset_code,priority
baseline,BA00089,2026-02-14 02:01:00,P-02,MEDIUM
baseline,BA00090,2026-02-01 14:18:00,P-03,MEDIUM
baseline,BA00091,2026-02-02 02:47:00,P-04,HIGH
baseline,BA00092,2026-02-10 05:44:00,CH-02,HIGH
baseline,BA00093,2026-02-15 06:14:00,CH-03,MEDIUM
baseline,BA00094,2026-02-27 19:30:00,CH-03,MEDIUM
baseline,BA00095,2026-02-15 01:06:00,CH-03,MEDIUM
baseline,BA00096,2026-02-10 15:39:00,CH-02,MEDIUM
baseline,BA00097,2026-02-06 03:42:00,P-02,HIGH
baseline,BA00098,2026-02-04 14:58:00,P-03,HIGH
baseline,BA00099,2026-02-14 11:53:00,CH-01,HIGH
baseline,BA00100,2026-02-03 12:24:00,P-04,MEDIUM
baseline,BA00101,2026-02-16 23:17:00,CH-02,HIGH
baseline,BA00102,2026-02-25 01:07:00,P-02,HIGH
baseline,BA00103,2026-02-10 09:30:00,CH-03,HIGH
baseline,BA00104,2026-02-23 17:49:00,P-06,HIGH
baseline,BA00105,2026-02-26 00:00:00,P-01,HIGH
baseline,BA00106,2026-02-23 06:59:00,P-06,HIGH
baseline,BA00107,2026-02-08 12:52:00,P-06,MEDIUM
baseline,BA00108,2026-02-04 16:56:00,P-03,MEDIUM
baseline,BA00109,2026-02-02 07:04:00,P-01,MEDIUM
baseline,BA00110,2026-02-25 04:36:00,CH-03,HIGH
baseline,BA00111,2026-02-14 20:46:00,P-02,HIGH
baseline,BA00112,2026-02-17 13:30:00,P-06,HIGH
baseline,BA00113,2026-02-06 08:18:00,P-05,HIGH
baseline,BA00114,2026-02-13 06:42:00,P-05,HIGH
baseline,BA00115,2026-02-26 08:23:00,P-05,MEDIUM
baseline,BA00116,2026-02-01 20:02:00,P-02,HIGH
baseline,BA00117,2026-02-22 15:36:00,CH-03,HIGH
baseline,BA00118,2026-02-07 21:10:00,CH-01,HIGH
baseline,BA00119,2026-02-18 18:38:00,P-05,HIGH
baseline,BA00120,2026-02-08 18:35:00,P-01,HIGH
baseline,BA00121,2026-02-21 12:34:00,P-03,MEDIUM
baseline,BA00122,2026-02-12 22:30:00,P-04,HIGH
baseline,BA00123,2026-02-02 21:45:00,CH-02,MEDIUM
baseline,BA00124,2026-02-17 12:24:00,P-03,HIGH
baseline,BA00125,2026-02-14 20:44:00,P-04,HIGH
baseline,BA00126,2026-02-04 20:20:00,P-06,HIGH
baseline,BA00127,2026-02-03 09:04:00,CH-03,HIGH
baseline,BA00128,2026-02-13 19:32:00,P-02,HIGH
baseline,BA00129,2026-02-28 12:20:00,P-02,MEDIUM
baseline,BA00130,2026-02-25 00:00:00,P-05,HIGH
baseline,BA00131,2026-02-03 07:23:00,P-01,MEDIUM
baseline,BA00132,2026-02-13 12:33:00,P-06,HIGH
baseline,BA00133,2026-02-23 08:37:00,P-04,HIGH
baseline,BA00134,2026-02-10 18:20:00,P-05,HIGH
baseline,BA00135,2026-02-08 10:17:00,P-01,HIGH
baseline,BA00136,2026-02-04 17:52:00,P-06,HIGH
baseline,BA00137,2026-03-24 20:33:00,CH-02,HIGH
baseline,BA00138,2026-03-23 02:46:00,P-04,MEDIUM
baseline,BA00139,2026-03-13 08:51:00,P-06,HIGH
baseline,BA00140,2026-03-04 17:20:00,P-01,HIGH
baseline,BA00141,2026-03-09 14:35:00,CH-03,HIGH
baseline,BA00142,2026-03-14 11:22:00,P-01,HIGH
baseline,BA00143,2026-03-25 16:51:00,P-05,HIGH
baseline,BA00144,2026-03-19 20:04:00,P-05,HIGH
baseline,BA00145,2026-03-16 16:46:00,P-03,HIGH
baseline,BA00146,2026-03-19 17:58:00,CH-02,HIGH
baseline,BA00147,2026-03-21 23:51:00,CH-01,HIGH
baseline,BA00148,2026-03-14 15:15:00,P-01,HIGH
baseline,BA00149,2026-03-15 16:44:00,P-04,HIGH
baseline,BA00150,2026-03-05 02:57:00,P-05,HIGH
baseline,BA00151,2026-03-08 03:32:00,P-01,HIGH
baseline,BA00152,2026-03-21 14:06:00,P-06,HIGH
baseline,BA00153,2026-03-27 13:22:00,P-06,HIGH
baseline,BA00154,2026-03-13 02:03:00,CH-01,HIGH
baseline,BA00155,2026-03-19 08:46:00,P-02,HIGH
baseline,BA00156,2026-03-07 20:59:00,P-06,MEDIUM
baseline,BA00157,2026-03-14 20:21:00,P-01,HIGH
baseline,BA00158,2026-03-26 12:14:00,P-05,HIGH
baseline,BA00159,2026-03-16 17:36:00,P-03,HIGH
baseline,BA00160,2026-03-17 12:14:00,P-01,HIGH
baseline,BA00161,2026-03-15 14:50:00,CH-02,HIGH
baseline,BA00162,2026-03-26 08:27:00,P-02,HIGH
baseline,BA00163,2026-03-12 15:32:00,P-06,MEDIUM
baseline,BA00164,2026-03-31 17:27:00,P-06,HIGH
baseline,BA00165,2026-03-23 05:05:00,CH-01,HIGH
baseline,BA00166,2026-03-10 04:33:00,P-06,MEDIUM
baseline,BA00167,2026-03-01 00:30:00,CH-03,HIGH
baseline,BA00168,2026-03-15 18:22:00,P-06,HIGH
baseline,BA00169,2026-03-28 21:22:00,CH-03,HIGH
baseline,BA00170,2026-03-09 21:13:00,P-05,HIGH
baseline,BA00171,2026-03-16 05:07:00,P-02,MEDIUM
baseline,BA00172,2026-03-11 05:42:00,P-01,HIGH
baseline,BA00173,2026-03-16 02:30:00,CH-01,MEDIUM
baseline,BA00174,2026-03-23 00:23:00,P-02,HIGH
baseline,BA00175,2026-03-23 11:40:00,CH-03,MEDIUM
baseline,BA00176,2026-03-05 04:05:00,CH-02,HIGH
baseline,BA00177,2026-03-12 04:19:00,P-03,HIGH
baseline,BA00178,2026-03-08 22:57:00,CH-01,HIGH
baseline,BA00179,2026-03-09 21:35:00,CH-01,HIGH
baseline,BA00180,2026-03-14 07:18:00,P-01,MEDIUM
baseline,BA00181,2026-03-09 04:03:00,CH-01,MEDIUM
baseline,BA00182,2026-03-07 13:10:00,P-01,MEDIUM
baseline,BA00183,2026-03-04 22:08:00,P-03,MEDIUM
baseline,BA00184,2026-03-25 17:09:00,P-02,MEDIUM
baseline,BA00185,2026-03-05 13:06:00,CH-02,HIGH
baseline,BA00186,2026-03-28 00:18:00,CH-03,MEDIUM
baseline,BA00187,2026-03-20 22:26:00,CH-01,MEDIUM
baseline,BA00188,2026-03-06 16:59:00,P-02,HIGH
baseline,BA00189,2026-03-06 10:26:00,P-06,HIGH
baseline,BA00190,2026-03-28 19:39:00,P-03,HIGH
baseline,BA00191,2026-03-21 16:14:00,P-05,HIGH
baseline,BA00192,2026-03-15 06:52:00,P-05,MEDIUM
baseline,BA00193,2026-03-25 20:53:00,P-04,HIGH
baseline,BA00194,2026-03-16 18:58:00,CH-02,HIGH
baseline,BA00195,2026-03-24 09:34:00,CH-03,HIGH
baseline,BA00196,2026-03-30 06:08:00,CH-01,HIGH
baseline,BA00197,2026-03-15 10:03:00,P-02,HIGH
baseline,BA00198,2026-03-16 08:36:00,CH-02,HIGH
baseline,BA00199,2026-03-26 13:48:00,P-06,HIGH
baseline,BA00200,2026-03-05 17:25:00,P-05,MEDIUM
baseline,BA00201,2026-04-24 07:58:00,CH-03,HIGH
baseline,BA00202,2026-04-22 02:14:00,P-05,HIGH
baseline,BA00203,2026-04-11 21:46:00,CH-02,MEDIUM
baseline,BA00204,2026-04-20 11:19:00,P-02,HIGH
baseline,BA00205,2026-04-26 10:00:00,P-02,HIGH
baseline,BA00206,2026-04-21 02:46:00,CH-03,HIGH
baseline,BA00207,2026-04-19 06:17:00,P-06,MEDIUM
baseline,BA00208,2026-04-25 03:29:00,P-05,HIGH
baseline,BA00209,2026-04-27 04:10:00,CH-03,MEDIUM
baseline,BA00210,2026-04-19 19:21:00,CH-03,HIGH
baseline,BA00211,2026-04-22 20:12:00,P-02,MEDIUM
baseline,BA00212,2026-04-25 22:29:00,CH-03,HIGH
baseline,BA00213,2026-04-06 15:24:00,P-06,HIGH
baseline,BA00214,2026-04-28 04:13:00,P-02,HIGH
baseline,BA00215,2026-04-20 04:22:00,P-05,MEDIUM
baseline,BA00216,2026-04-28 03:03:00,P-03,MEDIUM
baseline,BA00217,2026-04-13 14:21:00,CH-02,HIGH
baseline,BA00218,2026-04-20 12:13:00,P-01,HIGH
baseline,BA00219,2026-04-18 19:54:00,P-04,MEDIUM
baseline,BA00220,2026-04-28 02:42:00,P-03,MEDIUM
baseline,BA00221,2026-04-11 18:12:00,P-03,MEDIUM
baseline,BA00222,2026-04-26 17:07:00,P-05,MEDIUM
baseline,BA00223,2026-04-10 14:37:00,CH-03,MEDIUM
baseline,BA00224,2026-04-13 15:21:00,P-03,MEDIUM
baseline,BA00225,2026-04-24 04:09:00,P-03,HIGH
baseline,BA00226,2026-04-19 06:26:00,P-06,HIGH
baseline,BA00227,2026-04-05 05:18:00,P-05,MEDIUM
baseline,BA00228,2026-04-20 12:41:00,P-04,HIGH
baseline,BA00229,2026-04-09 15:53:00,CH-03,HIGH
baseline,BA00230,2026-04-07 04:30:00,P-04,MEDIUM
baseline,BA00231,2026-04-09 22:15:00,P-04,MEDIUM
baseline,BA00232,2026-04-25 02:34:00,P-01,HIGH
baseline,BA00233,2026-04-02 08:03:00,P-01,HIGH
baseline,BA00234,2026-04-09 14:26:00,CH-03,HIGH
baseline,BA00235,2026-04-26 02:13:00,P-01,HIGH
baseline,BA00236,2026-04-05 00:28:00,CH-03,HIGH
baseline,BA00237,2026-04-29 23:07:00,P-06,MEDIUM
baseline,BA00238,2026-04-20 11:46:00,P-05,MEDIUM
baseline,BA00239,2026-04-26 20:16:00,P-01,HIGH
baseline,BA00240,2026-04-01 02:22:00,P-01,HIGH
baseline,BA00241,2026-04-16 07:43:00,P-06,HIGH
baseline,BA00242,2026-04-17 00:19:00,CH-01,HIGH
baseline,BA00243,2026-04-01 15:18:00,CH-02,HIGH
baseline,BA00244,2026-04-06 08:39:00,P-03,MEDIUM
baseline,BA00245,2026-04-19 19:55:00,P-01,HIGH
baseline,BA00246,2026-04-02 03:59:00,P-05,HIGH
baseline,BA00247,2026-04-16 23:15:00,CH-02,MEDIUM
baseline,BA00248,2026-04-12 22:35:00,P-01,MEDIUM
baseline,BA00249,2026-04-06 17:10:00,CH-01,HIGH
baseline,BA00250,2026-04-18 07:07:00,P-02,HIGH
baseline,BA00251,2026-04-05 05:15:00,CH-03,MEDIUM
baseline,BA00252,2026-04-25 11:28:00,P-01,HIGH
baseline,BA00253,2026-04-11 00:11:00,P-03,MEDIUM
baseline,BA00254,2026-04-13 22:02:00,CH-03,HIGH
baseline,BA00255,2026-04-26 03:46:00,P-04,HIGH
baseline,BA00256,2026-04-02 16:03:00,CH-03,HIGH
baseline,BA00257,2026-05-29 15:35:00,P-02,HIGH
baseline,BA00258,2026-05-11 01:56:00,P-06,MEDIUM
baseline,BA00259,2026-05-24 18:07:00,P-01,HIGH
baseline,BA00260,2026-05-01 02:20:00,P-02,HIGH
baseline,BA00261,2026-05-25 02:07:00,P-01,HIGH
baseline,BA00262,2026-05-04 04:39:00,P-02,HIGH
baseline,BA00263,2026-05-29 15:52:00,P-06,HIGH
baseline,BA00264,2026-05-10 23:06:00,P-05,MEDIUM
baseline,BA00265,2026-05-01 20:17:00,P-06,MEDIUM
baseline,BA00266,2026-05-08 00:17:00,P-06,HIGH
baseline,BA00267,2026-05-20 17:15:00,P-06,MEDIUM
baseline,BA00268,2026-05-08 01:22:00,CH-03,MEDIUM
baseline,BA00269,2026-05-01 18:29:00,CH-02,HIGH
baseline,BA00270,2026-05-16 09:40:00,P-03,MEDIUM
baseline,BA00271,2026-05-03 09:54:00,CH-02,HIGH
baseline,BA00272,2026-05-12 02:34:00,CH-01,HIGH
baseline,BA00273,2026-05-25 06:34:00,P-04,MEDIUM
baseline,BA00274,2026-05-28 15:19:00,P-05,HIGH
baseline,BA00275,2026-05-06 09:25:00,P-02,MEDIUM
baseline,BA00276,2026-05-24 14:56:00,P-06,HIGH
baseline,BA00277,2026-05-29 06:06:00,P-05,HIGH
baseline,BA00278,2026-05-29 20:59:00,CH-01,HIGH
baseline,BA00279,2026-05-20 10:33:00,P-01,HIGH
baseline,BA00280,2026-05-11 17:20:00,CH-02,HIGH
baseline,BA00281,2026-05-14 01:05:00,CH-02,HIGH
baseline,BA00282,2026-05-10 10:01:00,P-05,HIGH
baseline,BA00283,2026-05-02 07:40:00,P-06,HIGH
baseline,BA00284,2026-05-13 23:59:00,CH-01,HIGH
baseline,BA00285,2026-05-20 08:18:00,P-03,MEDIUM
baseline,BA00286,2026-05-02 21:04:00,P-06,HIGH
baseline,BA00287,2026-05-12 06:55:00,CH-01,HIGH
baseline,BA00288,2026-05-13 17:07:00,P-01,HIGH
baseline,BA00289,2026-05-15 07:35:00,CH-02,HIGH
baseline,BA00290,2026-05-16 11:25:00,P-04,HIGH
baseline,BA00291,2026-05-04 21:49:00,P-02,MEDIUM
baseline,BA00292,2026-05-15 20:23:00,P-06,HIGH
baseline,BA00293,2026-05-01 04:09:00,CH-02,HIGH
baseline,BA00294,2026-05-05 05:08:00,P-01,MEDIUM
baseline,BA00295,2026-05-10 01:19:00,CH-01,MEDIUM
baseline,BA00296,2026-05-04 09:00:00,P-04,MEDIUM
baseline,BA00297,2026-05-31 07:52:00,P-03,HIGH
baseline,BA00298,2026-05-10 06:42:00,P-04,HIGH
baseline,BA00299,2026-05-23 14:50:00,P-03,MEDIUM
baseline,BA00300,2026-05-15 02:21:00,P-06,MEDIUM
baseline,BA00301,2026-05-01 06:27:00,P-03,MEDIUM
baseline,BA00302,2026-05-27 17:51:00,P-05,MEDIUM
baseline,BA00303,2026-05-15 11:32:00,P-03,MEDIUM
baseline,BA00304,2026-05-06 15:47:00,CH-02,MEDIUM
baseline,BA00305,2026-05-31 06:06:00,CH-03,MEDIUM
baseline,BA00306,2026-05-19 13:35:00,P-04,HIGH
baseline,BA00307,2026-05-09 07:17:00,P-06,MEDIUM
baseline,BA00308,2026-05-23 05:56:00,P-06,MEDIUM
baseline,BA00309,2026-05-29 13:10:00,P-04,HIGH
baseline,BA00310,2026-05-13 15:35:00,P-04,HIGH
baseline,BA00311,2026-05-02 00:55:00,P-02,HIGH
baseline,BA00312,2026-05-20 13:21:00,P-02,HIGH
baseline,BA00313,2026-05-21 11:47:00,CH-02,MEDIUM
baseline,BA00314,2026-05-25 15:42:00,P-06,HIGH
baseline,BA00315,2026-05-22 12:16:00,P-06,MEDIUM
baseline,BA00316,2026-05-01 11:05:00,CH-02,HIGH
baseline,BA00317,2026-05-21 16:45:00,P-02,HIGH
baseline,BA00318,2026-05-28 06:52:00,P-05,HIGH
baseline,BA00319,2026-05-21 13:18:00,CH-02,HIGH
baseline,BA00320,2026-06-02 23:29:00,CH-02,MEDIUM
baseline,BA00321,2026-06-25 02:09:00,CH-03,HIGH
baseline,BA00322,2026-06-18 17:20:00,CH-02,HIGH
baseline,BA00323,2026-06-30 02:48:00,CH-03,HIGH
baseline,BA00324,2026-06-02 22:34:00,P-04,HIGH
baseline,BA00325,2026-06-28 13:35:00,P-05,HIGH
baseline,BA00326,2026-06-03 04:14:00,P-06,MEDIUM
baseline,BA00327,2026-06-16 05:16:00,P-06,HIGH
baseline,BA00328,2026-06-27 05:53:00,P-03,MEDIUM
baseline,BA00329,2026-06-12 03:21:00,CH-02,HIGH
baseline,BA00330,2026-06-17 10:09:00,P-05,HIGH
baseline,BA00331,2026-06-09 10:25:00,CH-01,HIGH
baseline,BA00332,2026-06-27 18:40:00,P-03,HIGH
baseline,BA00333,2026-06-05 20:37:00,CH-03,HIGH
baseline,BA00334,2026-06-14 22:08:00,CH-03,HIGH
baseline,BA00335,2026-06-25 13:21:00,P-02,HIGH
baseline,BA00336,2026-06-21 20:51:00,CH-01,MEDIUM
baseline,BA00337,2026-06-26 19:19:00,P-05,HIGH
baseline,BA00338,2026-06-22 02:43:00,P-01,MEDIUM
baseline,BA00339,2026-06-09 16:15:00,CH-02,HIGH
baseline,BA00340,2026-06-20 23:26:00,CH-02,HIGH
baseline,BA00341,2026-06-05 07:38:00,P-03,HIGH
baseline,BA00342,2026-06-13 17:32:00,CH-03,HIGH
baseline,BA00343,2026-06-25 22:09:00,P-04,HIGH
baseline,BA00344,2026-06-11 23:17:00,CH-01,HIGH
baseline,BA00345,2026-06-17 02:54:00,CH-02,HIGH
baseline,BA00346,2026-06-17 16:10:00,CH-01,HIGH
baseline,BA00347,2026-06-17 07:04:00,P-04,HIGH
baseline,BA00348,2026-06-30 17:22:00,P-04,HIGH
baseline,BA00349,2026-06-04 10:40:00,CH-03,HIGH
baseline,BA00350,2026-06-30 21:58:00,P-01,HIGH
baseline,BA00351,2026-06-03 11:18:00,P-01,HIGH
baseline,BA00352,2026-06-20 13:58:00,P-02,HIGH
baseline,BA00353,2026-06-02 23:25:00,P-05,MEDIUM
baseline,BA00354,2026-06-06 05:36:00,CH-03,HIGH
baseline,BA00355,2026-06-14 06:25:00,CH-01,HIGH
baseline,BA00356,2026-06-16 14:23:00,CH-03,MEDIUM
baseline,BA00357,2026-06-09 17:41:00,P-02,HIGH
baseline,BA00358,2026-06-04 22:53:00,P-05,HIGH
baseline,BA00359,2026-06-23 03:53:00,CH-01,MEDIUM
baseline,BA00360,2026-06-08 06:29:00,P-05,HIGH
baseline,BA00361,2026-06-18 08:36:00,P-03,HIGH
baseline,BA00362,2026-06-05 09:20:00,CH-03,HIGH
baseline,BA00363,2026-06-11 06:20:00,P-06,HIGH
baseline,BA00364,2026-06-21 14:11:00,P-02,HIGH
baseline,BA00365,2026-06-13 17:49:00,P-05,HIGH
baseline,BA00366,2026-06-08 23:01:00,P-06,HIGH
baseline,BA00367,2026-06-25 02:54:00,CH-02,HIGH
baseline,BA00368,2026-06-30 07:15:00,P-03,HIGH
baseline,BA00369,2026-06-19 04:53:00,P-04,HIGH
baseline,BA00370,2026-06-09 17:08:00,P-05,HIGH
baseline,BA00371,2026-06-07 21:46:00,P-01,HIGH
baseline,BA00372,2026-06-27 06:40:00,P-01,HIGH
baseline,BA00373,2026-06-11 22:10:00,CH-01,MEDIUM
baseline,BA00374,2026-06-29 02:28:00,P-05,MEDIUM
baseline,BA00375,2026-06-08 12:52:00,P-05,HIGH
baseline,BA00376,2026-06-08 15:37:00,P-05,MEDIUM
baseline,BA00377,2026-06-24 15:17:00,CH-01,HIGH
baseline,BA00378,2026-06-16 18:18:00,P-06,HIGH
baseline,BA00379,2026-07-20 03:21:00,P-03,HIGH
baseline,BA00380,2026-07-05 07:31:00,P-01,HIGH
baseline,BA00381,2026-07-16 02:24:00,P-04,HIGH
baseline,BA00382,2026-07-25 20:34:00,P-06,MEDIUM
baseline,BA00383,2026-07-05 20:49:00,P-04,HIGH
baseline,BA00384,2026-07-24 18:06:00,P-03,MEDIUM
baseline,BA00385,2026-07-21 20:34:00,CH-01,HIGH
baseline,BA00386,2026-07-24 10:04:00,P-06,HIGH
baseline,BA00387,2026-07-09 06:48:00,P-03,HIGH
baseline,BA00388,2026-07-26 18:13:00,CH-03,MEDIUM
baseline,BA00389,2026-07-18 01:46:00,CH-02,MEDIUM
baseline,BA00390,2026-07-27 05:52:00,P-05,HIGH
baseline,BA00391,2026-07-30 13:34:00,CH-03,HIGH
baseline,BA00392,2026-07-24 02:02:00,P-06,MEDIUM
baseline,BA00393,2026-07-10 20:04:00,P-02,HIGH
baseline,BA00394,2026-07-17 22:01:00,P-05,HIGH
baseline,BA00395,2026-07-10 14:07:00,CH-03,HIGH
baseline,BA00396,2026-07-15 10:47:00,P-03,HIGH
baseline,BA00397,2026-07-31 14:04:00,P-02,HIGH
baseline,BA00398,2026-07-04 09:07:00,P-02,HIGH
baseline,BA00399,2026-07-13 03:52:00,CH-01,HIGH
baseline,BA00400,2026-07-05 07:45:00,P-03,HIGH
baseline,BA00401,2026-07-13 20:58:00,P-02,MEDIUM
baseline,BA00402,2026-07-12 07:39:00,P-03,HIGH
baseline,BA00403,2026-07-01 09:39:00,CH-03,HIGH
baseline,BA00404,2026-07-12 11:48:00,P-04,HIGH
baseline,BA00405,2026-07-21 07:06:00,P-06,HIGH
baseline,BA00406,2026-07-24 10:12:00,P-02,MEDIUM
baseline,BA00407,2026-07-02 07:43:00,P-03,HIGH
baseline,BA00408,2026-07-06 02:24:00,P-05,HIGH
baseline,BA00409,2026-07-05 17:31:00,P-06,HIGH
baseline,BA00410,2026-07-05 08:10:00,P-03,HIGH
baseline,BA00411,2026-07-14 19:55:00,P-02,HIGH
baseline,BA00412,2026-07-05 05:02:00,P-02,HIGH
baseline,BA00413,2026-07-10 03:39:00,CH-03,MEDIUM
baseline,BA00414,2026-07-13 10:06:00,P-06,MEDIUM
baseline,BA00415,2026-07-31 22:20:00,CH-01,MEDIUM
baseline,BA00416,2026-07-15 01:17:00,CH-02,HIGH
baseline,BA00417,2026-07-05 23:08:00,P-06,MEDIUM
baseline,BA00418,2026-07-23 01:56:00,CH-01,MEDIUM
baseline,BA00419,2026-07-31 02:48:00,P-05,MEDIUM
baseline,BA00420,2026-07-01 09:30:00,CH-03,HIGH
baseline,BA00421,2026-07-16 18:21:00,P-04,HIGH
baseline,BA00422,2026-07-26 09:07:00,P-05,HIGH
baseline,BA00423,2026-07-12 10:30:00,P-06,HIGH
baseline,BA00424,2026-07-21 02:53:00,P-06,HIGH
baseline,BA00425,2026-07-01 02:28:00,P-02,MEDIUM
baseline,BA00426,2026-07-21 15:00:00,CH-03,HIGH
baseline,BA00427,2026-07-10 05:35:00,P-06,MEDIUM
baseline,BA00428,2026-07-02 01:34:00,P-05,HIGH
baseline,BA00429,2026-07-11 23:20:00,P-05,HIGH
baseline,BA00430,2026-07-16 17:43:00,P-06,HIGH
baseline,BA00431,2026-07-26 12:52:00,P-03,HIGH
baseline,BA00432,2026-07-27 20:21:00,CH-03,MEDIUM
baseline,BA00433,2026-07-31 14:29:00,CH-02,HIGH
baseline,BA00434,2026-07-22 08:58:00,P-04,HIGH
baseline,BA00435,2026-07-09 15:44:00,P-01,MEDIUM
baseline,BA00436,2026-07-06 22:01:00,CH-03,HIGH
